index,image_path,label,numeric_label,domain_label
0,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00001.jpg,Curtains,0,0
1,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00002.jpg,Curtains,0,0
2,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00003.jpg,Curtains,0,0
3,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00004.jpg,Curtains,0,0
4,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00005.jpg,Curtains,0,0
5,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00006.jpg,Curtains,0,0
6,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00007.jpg,Curtains,0,0
7,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00008.jpg,Curtains,0,0
8,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00009.jpg,Curtains,0,0
9,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00010.jpg,Curtains,0,0
10,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00011.jpg,Curtains,0,0
11,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00012.jpg,Curtains,0,0
12,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00013.jpg,Curtains,0,0
13,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00014.jpg,Curtains,0,0
14,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00015.jpg,Curtains,0,0
15,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00016.jpg,Curtains,0,0
16,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00017.jpg,Curtains,0,0
17,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00018.jpg,Curtains,0,0
18,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00019.jpg,Curtains,0,0
19,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00020.jpg,Curtains,0,0
20,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00021.jpg,Curtains,0,0
21,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00022.jpg,Curtains,0,0
22,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00023.jpg,Curtains,0,0
23,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00024.jpg,Curtains,0,0
24,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00025.jpg,Curtains,0,0
25,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00026.jpg,Curtains,0,0
26,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00027.jpg,Curtains,0,0
27,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00028.jpg,Curtains,0,0
28,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00029.jpg,Curtains,0,0
29,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00030.jpg,Curtains,0,0
30,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00031.jpg,Curtains,0,0
31,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00032.jpg,Curtains,0,0
32,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00033.jpg,Curtains,0,0
33,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00034.jpg,Curtains,0,0
34,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00035.jpg,Curtains,0,0
35,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00036.jpg,Curtains,0,0
36,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00037.jpg,Curtains,0,0
37,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00038.jpg,Curtains,0,0
38,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00039.jpg,Curtains,0,0
39,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Curtains/00040.jpg,Curtains,0,0
40,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00001.jpg,Bed,1,0
41,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00002.jpg,Bed,1,0
42,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00003.jpg,Bed,1,0
43,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00004.jpg,Bed,1,0
44,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00005.jpg,Bed,1,0
45,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00006.jpg,Bed,1,0
46,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00007.jpg,Bed,1,0
47,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00008.jpg,Bed,1,0
48,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00009.jpg,Bed,1,0
49,/janaki/backup/users/student/pg/pg23/vaibhav.rathore/datasets/Office_Home/Art/Bed/00010.jpg,Bed,1,0
